									民國103年1-12月											單位：新臺幣千元	
									Jan-Dec 2014											"UNIT：NT$ 1,000"	
		營業收入			營業利益		營業外收入及支出合計		稅後純益			本期末	每股稅後純益		每  股	淨值佔	流動	速動	稅前純益		
公司名稱		Operating Revenues			Income (Lose) from Operation		Total non-operating income and expenses		Net Income after Tax			股本	Net Income Per Share		淨 值	總資產	比率	比率	Net Income before Tax		
Code&Name		103年1-12月	102年1-12月	增減	103年1-12月	102年1-12月	103年1-12月	102年1-12月	103年1-12月	102年1-12月	增減	Capital Stock	103年1-12月	102年1-12月	(元)	(%)		Quick	103年1-12月	102年1-12月	增減
		Jan-Dec 2014	Jan-Dec 2013	(%)	Jan-Dec 2014	Jan-Dec 2013	Jan-Dec 2014	Jan-Dec 2013	Jan-Dec 2014	Jan-Dec 2013	(%)	End of Period	Jan-Dec 2014	Jan-Dec 2013	(A)	(B)	(C)	Ratio	Jan-Dec 2014	Jan-Dec 2013	(%)
																					
01	水泥類	"217,944,191 "	"207,261,624 "	5.15 	"29,032,221 "	"25,776,236 "	"8,359,359 "	"10,092,428 "	"22,404,273 "	"23,529,248 "	(4.78)	"98,441,609 "	1.44 	1.60 	31.71 	47.60 	1.34 	1.09 	"37,391,580 "	"35,868,664 "	4.25 
	Cement																				
1101	台泥	"118,325,809 "	"116,098,947 "	1.92 	"19,857,669 "	"17,775,975 "	"1,341,051 "	"828,481 "	"10,828,868 "	"10,026,731 "	8.00 	"36,921,759 "	2.93 	2.72 	31.95 	40.29 	1.41 	1.18 	"21,198,720 "	"18,604,456 "	13.94 
1102	亞泥	"77,683,281 "	"70,172,781 "	10.70 	"8,248,404 "	"6,672,500 "	"5,471,335 "	"7,409,748 "	"9,361,635 "	"10,517,318 "	(10.99)	"33,614,472 "	2.98 	3.35 	42.19 	50.15 	1.09 	0.91 	"13,719,739 "	"14,082,248 "	(2.57)
1103	嘉泥	"3,937,686 "	"4,268,305 "	(7.75)	"(258,849)"	"416,023 "	"268,150 "	"922,781 "	"16,343 "	"1,272,068 "	(98.72)	"7,768,285 "	0.03 	1.97 	26.88 	51.55 	3.83 	2.80 	"9,301 "	"1,338,804 "	(99.31)
